operating_name,first_category_vendor,First_Category,first_endorsements,first_issued,last_date_opname,last_ward_id,Count of ward_id,Years_Operation,last_latitude,last_longitude,    Average total income in 2020 among recipients ($),    Employed,    Median total income in 2020 among recipients ($),    Unemployed,  Average total income of one-person households in 2020 ($),  In the labour force,  Median total income of one-person households in 2020 ($),  Not in the labour force,Area (sq km),Meadian age,population between  15 and 19,Population over 20 and less than 54,Total - Population aged 15 years and over by Labour force status - 25% sample data,Total population,Unemployment rate
Dairy Bell,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,1976-04-09 0:00,2023-07-09 0:00,11,4,47.25,43.6680462,-79.42076054,103900,55190,47200,8065,83700,63250,48800,30145,13.59728261167877,36.8,3490,60390,93395,102385,12.8
"Business Of: Arrechea, Juan Ramon",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2003-05-22 0:00,2005-04-02 0:00,5,1,1.92,43.70655695,-79.51742037,43360,48010,34800,9385,42400,57395,32000,39810,24.97949625827872,40.4,6390,55685,97205,115675,16.4
"Business Of: Aviles, Geovanny Alejandro",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1995-06-29 0:00,2020-11-03 0:00,5,1,25.42,43.69703199,-79.4870454,43360,48010,34800,9385,42400,57395,32000,39810,24.97949625827872,40.4,6390,55685,97205,115675,16.4
"Business Of: Aviles, Yamile Carmita",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1998-04-01 0:00,2020-11-03 0:00,5,1,22.58,43.69703199,-79.4870454,43360,48010,34800,9385,42400,57395,32000,39810,24.97949625827872,40.4,6390,55685,97205,115675,16.4
"Business Of: Aziz, Salih Sabir",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2002-07-29 0:00,2008-10-29 0:00,10,1,6.25,43.64805582,-79.41765564,78400,91810,58400,9945,86200,101755,69000,24385,12.81255621364045,32.8,2195,103865,126130,135400,9.8
"Business Of: Azizi, Hakim Nasrat",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2002-04-01 0:00,2005-04-02 0:00,23,1,3,43.81787496,-79.28021845,38560,37745,30400,7740,47160,45490,35600,35445,30.43753122423298,42.8,4750,43235,80925,94025,17
Business Of: B Good Canada Ulc,mobile vending (food truck),Specialty and Fusion,mobile vending (food truck) annual;,2014-06-19 0:00,2016-09-19 0:00,13,1,2.25,43.64985182,-79.37114407,59750,63845,40400,11345,61250,75190,42800,32435,5.863021520776558,34.8,3445,78250,107625,116930,15.1
"Business Of: Babjak, Jergus",non-motorized refreshment vehicle owner,,rv - non-motorized - propane heater;,2008-04-04 0:00,2009-08-19 0:00,4,1,1.33,43.66081818,-79.46429777,72800,54650,46800,8120,59200,62770,44800,26925,15.32836716725182,40,4680,56515,89700,104715,12.9
"Business Of: Bangipour, Haiedeh",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1995-04-01 0:00,2007-07-02 0:00,14,1,12.25,43.65832971,-79.34568472,70800,52435,45200,7515,61200,59950,41600,28425,20.80286727365419,40.8,4200,54260,88370,104555,12.5
"Business Of: Baraki, Benafsha Taiba",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2005-02-28 0:00,2016-08-18 0:00,8,1,11.5,43.72208628,-79.45045694,88500,53845,44400,7510,67900,61360,46000,34350,22.66246048850679,41.2,7220,53335,95710,114820,12.2
"Business Of: Baranyi, Robertne",motorized refreshment vehicle owner,Beverages,rv - motorized - ice cream;,2012-05-24 0:00,2014-08-24 0:00,17,1,2.25,43.78040808,-79.34736257,50880,51425,37200,8630,60150,60060,48000,38375,24.42064193785486,40.4,5090,57315,98425,112590,14.4
"Business Of: Barkhordar, Jalal",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2001-07-31 0:00,2003-03-31 0:00,20,1,1.67,43.72968298,-79.26381008,49160,46020,35600,9005,46880,55025,35200,36945,28.13809805826185,40.8,6425,52250,91970,110095,16.4
"Business Of: Barlas, Bill",motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,1982-05-31 0:00,2011-08-31 0:00,8,1,29.25,43.73301287,-79.41769401,88500,53845,44400,7510,67900,61360,46000,34350,22.66246048850679,41.2,7220,53335,95710,114820,12.2
"Business Of: Bashardost, Folura",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2019-03-19 0:00,2021-08-17 0:00,23,1,2.42,43.79411889,-79.26559072,38560,37745,30400,7740,47160,45490,35600,35445,30.43753122423298,42.8,4750,43235,80925,94025,17
"Business Of: Bavington, David Mark",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2005-11-22 0:00,2008-02-22 0:00,13,1,2.25,43.66824618,-79.36817815,59750,63845,40400,11345,61250,75190,42800,32435,5.863021520776558,34.8,3445,78250,107625,116930,15.1
"Business Of: Bedard, Andrew Clement",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2006-07-26 0:00,2008-10-26 0:00,19,1,2.25,43.69166266,-79.31139705,69500,51100,44000,7910,56850,59010,41200,30810,16.803218951448542,41.2,5480,52970,89815,108500,13.4
"Business Of: Behkalam, Habib",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1997-04-10 0:00,2016-07-11 0:00,9,1,19.25,43.66482999,-79.43770318,55550,54715,40400,8260,56350,62975,41200,28660,12.09534538559141,38.4,3895,60750,91630,104730,13.1
"Business Of: Beloglu, Ali Atilla",non-motorized refreshment vehicle owner,Mediterranean & Middle Eastern,rv - trailer - propane heater;,2014-03-27 0:00,2017-06-27 0:00,15,1,3.25,43.75038334,-79.39990822,113600,46200,47200,6345,83200,52550,54400,31175,30.29693944212094,41.2,6665,46355,83725,101025,12.1
"Business Of: Benhadjoudja, Mokhtar",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2002-12-02 0:00,2010-06-03 0:00,1,1,7.5,43.74284258,-79.58466097,39760,47840,32400,9430,45000,57265,35200,39355,48.36547443546212,38,7085,56585,96620,115120,16.5
"Business Of: Bermah, Mehran Agha",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1996-03-07 0:00,2003-03-31 0:00,18,1,7,43.79163278,-79.41017862,55050,56595,36800,8240,63050,64830,47600,38860,19.76270392348029,39.2,5035,64180,103695,117130,12.7
"Business Of: Bhatti, Latif Ahmad",motorized refreshment vehicle owner,,rv - motorized - propane heater;,1992-01-21 0:00,2006-04-23 0:00,24,1,14.25,43.77063258,-79.21670016,41760,41920,33200,8155,44360,50075,33600,35505,26.11145829405803,38.4,6030,49535,85580,102755,16.3
Business Of: Black Vinyl Holdings Group Inc,motorized refreshment vehicle owner,American Cuisine,rv - motorized - propane heater;,2007-11-01 0:00,2015-10-04 0:00,7,1,7.92,43.75322801,-79.54419408,37240,43655,31400,9465,38760,53120,29200,39315,30.70157306,37.6,7175,54505,92430,111200,17.8
"Business Of: Black, Joseph Lee",motorized refreshment vehicle owner,American Cuisine,rv - motorized - propane heater;,1999-05-20 0:00,2007-08-20 0:00,22,1,8.25,43.78155863,-79.30307906,41560,41315,31600,8125,45840,49440,33600,40950,21.39897455007252,45.2,4930,46270,90390,103690,16.4
"Business Of: Block, Alexei",non-motorized refreshment vehicle owner,,rv - non-motorized - propane heater;,2006-07-11 0:00,2009-10-11 0:00,5,1,3.25,43.71349275,-79.48787286,43360,48010,34800,9385,42400,57395,32000,39810,24.97949625827872,40.4,6390,55685,97205,115675,16.4
"Business Of: Block, Christina",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2007-08-21 0:00,2008-11-21 0:00,11,1,1.25,43.67176142,-79.40317529,103900,55190,47200,8065,83700,63250,48800,30145,13.59728261167877,36.8,3490,60390,93395,102385,12.8
"Business Of: Blue, Lorraine",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1993-12-20 0:00,2007-07-25 0:00,15,1,13.58,43.70310761,-79.3867149,113600,46200,47200,6345,83200,52550,54400,31175,30.29693944212094,41.2,6665,46355,83725,101025,12.1
"Business Of: Blue, Stephen Christopher",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1990-11-26 0:00,2008-02-26 0:00,16,1,17.25,43.75356779,-79.32923092,50680,40605,36400,7200,57400,47800,45200,31950,22.96489984859394,41.2,5225,44310,79750,94335,15.1
"Business Of: Bogdan, Ilie Ioan",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2002-04-29 0:00,2003-03-31 0:00,2,1,0.92,43.68716603,-79.55863592,69200,53450,44400,7830,64600,61275,51200,38625,37.349370192023244,45.2,6540,50130,99900,117200,12.8
"Business Of: Boni, Mohammad Reza",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1993-03-10 0:00,2012-06-10 0:00,22,1,19.25,43.80139584,-79.32141161,41560,41315,31600,8125,45840,49440,33600,40950,21.39897455007252,45.2,4930,46270,90390,103690,16.4
"Business Of: Bosiak, Eugenia",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1998-06-30 0:00,2005-04-02 0:00,3,1,6.83,43.63310424,-79.49468235,71100,73170,47600,9780,67500,82950,51600,38510,39.99417467554395,40.8,5160,73835,121460,139920,11.8
"Business Of: Bougadis, Peter",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1989-10-12 0:00,2012-10-17 0:00,20,1,23,43.72968298,-79.26381008,49160,46020,35600,9005,46880,55025,35200,36945,28.13809805826185,40.8,6425,52250,91970,110095,16.4
"Business Of: Boyanov, Nikolay",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1995-08-11 0:00,2020-11-11 0:00,21,1,25.25,43.76207286,-79.27094275,41560,47210,33600,8815,45440,56030,37200,38565,28.205628137098813,40,6440,53680,94595,111560,15.7
"Business Of: Boyle, Raymond Lyle",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2011-09-13 0:00,2012-12-14 0:00,16,1,1.25,43.75356779,-79.32923092,50680,40605,36400,7200,57400,47800,45200,31950,22.96489984859394,41.2,5225,44310,79750,94335,15.1
"Business Of: Bozorgi, Davoud",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1992-05-27 0:00,2013-08-27 0:00,16,1,21.25,43.75356779,-79.32923092,50680,40605,36400,7200,57400,47800,45200,31950,22.96489984859394,41.2,5225,44310,79750,94335,15.1
"Business Of: Bradley, Tracy Michelle",non-motorized refreshment vehicle owner,American Cuisine,rv - trailer - wood-fired;,2017-09-15 0:00,2019-12-16 0:00,4,1,2.25,43.63794387,-79.42996248,72800,54650,46800,8120,59200,62770,44800,26925,15.32836716725182,40,4680,56515,89700,104715,12.9
Business Of: Bright Management Inc,non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2008-08-19 0:00,2009-11-19 0:00,25,1,1.25,43.7969621,-79.15374466,47840,44200,37200,7815,52200,52015,40800,34435,54.07847454192885,42,6105,45745,86445,101485,15
"Business Of: Butt, Maqsood",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2000-08-22 0:00,2003-03-25 0:00,1,1,2.58,43.74284258,-79.58466097,39760,47840,32400,9430,45000,57265,35200,39355,48.36547443546212,38,7085,56585,96620,115120,16.5
"Business Of: Buzio, Guillermina Maria",mobile vending (food truck),,mobile vending (food truck) 6-month;,2017-05-24 0:00,2018-09-10 0:00,9,1,1.33,43.66482999,-79.43770318,55550,54715,40400,8260,56350,62975,41200,28660,12.09534538559141,38.4,3895,60750,91630,104730,13.1
"Business Of: Cabral, Daniel Samson",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2012-12-11 0:00,2013-10-25 0:00,8,1,0.83,43.72208628,-79.45045694,88500,53845,44400,7510,67900,61360,46000,34350,22.66246048850679,41.2,7220,53335,95710,114820,12.2
"Business Of: Calinoiu, Gheorghe",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2000-08-24 0:00,2015-11-24 0:00,13,1,15.25,43.65520104,-79.3630158,59750,63845,40400,11345,61250,75190,42800,32435,5.863021520776558,34.8,3445,78250,107625,116930,15.1
"Business Of: Cao, Yong",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2003-04-01 0:00,2005-07-01 0:00,13,1,2.25,43.65520104,-79.3630158,59750,63845,40400,11345,61250,75190,42800,32435,5.863021520776558,34.8,3445,78250,107625,116930,15.1
"Business Of: Capitanio, Giacomo",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1998-10-19 0:00,2006-01-19 0:00,5,1,7.25,43.71349275,-79.48787286,43360,48010,34800,9385,42400,57395,32000,39810,24.97949625827872,40.4,6390,55685,97205,115675,16.4
"Business Of: Casillas Gonzalez, Carlos E",non-motorized refreshment vehicle owner,,rv - non-motorized - propane heater;,2009-06-12 0:00,2011-09-12 0:00,3,1,2.25,43.60522155,-79.50349528,71100,73170,47600,9780,67500,82950,51600,38510,39.99417467554395,40.8,5160,73835,121460,139920,11.8
"Business Of: Catsiliras, Athanasios",non-motorized refreshment vehicle owner,,rv - non-motorized - propane heater;,1988-03-25 0:00,2007-06-25 0:00,14,1,19.25,43.68044855,-79.35324169,70800,52435,45200,7515,61200,59950,41600,28425,20.80286727365419,40.8,4200,54260,88370,104555,12.5
"Business Of: Catsiliras, Ekaterine",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2007-11-06 0:00,2017-02-06 0:00,14,1,9.25,43.68044855,-79.35324169,70800,52435,45200,7515,61200,59950,41600,28425,20.80286727365419,40.8,4200,54260,88370,104555,12.5
"Business Of: Catsiliras, Ioanna",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1988-06-27 0:00,2020-11-03 0:00,14,1,32.42,43.68652393,-79.33668246,70800,52435,45200,7515,61200,59950,41600,28425,20.80286727365419,40.8,4200,54260,88370,104555,12.5
"Business Of: Catsiliras, Loucas",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1992-12-10 0:00,2024-02-01 0:00,14,1,31.17,43.68652393,-79.33668246,70800,52435,45200,7515,61200,59950,41600,28425,20.80286727365419,40.8,4200,54260,88370,104555,12.5
"Business Of: Catsiliras, Panagiota",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1988-09-19 0:00,2024-02-01 0:00,14,1,35.42,43.68044855,-79.35324169,70800,52435,45200,7515,61200,59950,41600,28425,20.80286727365419,40.8,4200,54260,88370,104555,12.5
"Business Of: Ceh, Robert J",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2017-07-07 0:00,2018-10-07 0:00,19,1,1.25,43.66938437,-79.31558904,69500,51100,44000,7910,56850,59010,41200,30810,16.803218951448542,41.2,5480,52970,89815,108500,13.4
"Business Of: Chand, Jonathan D A",motorized refreshment vehicle owner,,rv - motorized - propane heater;,1997-08-18 0:00,2005-04-02 0:00,19,1,7.67,43.66938437,-79.31558904,69500,51100,44000,7910,56850,59010,41200,30810,16.803218951448542,41.2,5480,52970,89815,108500,13.4
"Business Of: Chand, Rabindar",motorized refreshment vehicle owner,American Cuisine,rv - motorized - propane heater;,2001-08-30 0:00,2005-07-01 0:00,19,1,3.92,43.66938437,-79.31558904,69500,51100,44000,7910,56850,59010,41200,30810,16.803218951448542,41.2,5480,52970,89815,108500,13.4
"Business Of: Chang, Dae-Yong",mobile vending (food truck),Asian Cuisine,mobile vending (food truck) 6-month;,2019-05-17 0:00,2021-11-25 0:00,2,1,2.5,43.68716603,-79.55863592,69200,53450,44400,7830,64600,61275,51200,38625,37.349370192023244,45.2,6540,50130,99900,117200,12.8
"Business Of: Chen, Wen Hui",mobile vending (food truck),,mobile vending (food truck) 6-month;,2018-05-03 0:00,2019-06-18 0:00,23,1,1.08,43.81787496,-79.28021845,38560,37745,30400,7740,47160,45490,35600,35445,30.43753122423298,42.8,4750,43235,80925,94025,17
"Business Of: Cherniawski, Peter",motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,2012-07-20 0:00,2013-10-20 0:00,10,1,1.25,43.64152497,-79.39726033,78400,91810,58400,9945,86200,101755,69000,24385,12.81255621364045,32.8,2195,103865,126130,135400,9.8
"Business Of: Chifor, Florentina",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2002-04-01 0:00,2005-07-01 0:00,18,1,3.25,43.76759718,-79.41027601,55050,56595,36800,8240,63050,64830,47600,38860,19.76270392348029,39.2,5035,64180,103695,117130,12.7
"Business Of: Chimochenko, Tatiana",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2001-08-16 0:00,2003-03-31 0:00,3,1,1.58,43.63310424,-79.49468235,71100,73170,47600,9780,67500,82950,51600,38510,39.99417467554395,40.8,5160,73835,121460,139920,11.8
"Business Of: Choe, Usuk",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1994-12-08 0:00,2005-07-01 0:00,9,1,10.58,43.66482999,-79.43770318,55550,54715,40400,8260,56350,62975,41200,28660,12.09534538559141,38.4,3895,60750,91630,104730,13.1
"Business Of: Chorafios, Nikolaos",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2003-08-06 0:00,2007-11-06 0:00,20,1,4.25,43.72968298,-79.26381008,49160,46020,35600,9005,46880,55025,35200,36945,28.13809805826185,40.8,6425,52250,91970,110095,16.4
"Business Of: Chouikh, Kheira",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2003-04-01 0:00,2006-07-02 0:00,1,1,3.25,43.74284258,-79.58466097,39760,47840,32400,9430,45000,57265,35200,39355,48.36547443546212,38,7085,56585,96620,115120,16.5
"Business Of: Chronopoulos, Besse Vasiliki",non-motorized refreshment vehicle owner,,rv - non-motorized - propane heater;,1988-08-08 0:00,2005-03-07 0:00,4,1,16.58,43.66081818,-79.46429777,72800,54650,46800,8120,59200,62770,44800,26925,15.32836716725182,40,4680,56515,89700,104715,12.9
"Business Of: Chung, Dae-Yung",motorized refreshment vehicle owner,,rv - motorized - propane heater;,1996-08-13 0:00,2005-04-02 0:00,2,1,8.67,43.69279988,-79.53289089,69200,53450,44400,7830,64600,61275,51200,38625,37.349370192023244,45.2,6540,50130,99900,117200,12.8
"Business Of: Ciyayi, Mithra",non-motorized refreshment vehicle owner,,rv - non-motorized - propane heater;,2006-05-08 0:00,2008-08-08 0:00,9,1,2.25,43.68806215,-79.45042016,55550,54715,40400,8260,56350,62975,41200,28660,12.09534538559141,38.4,3895,60750,91630,104730,13.1
Business Of: Classic Catering Ltd,motorized refreshment vehicle owner,Specialty and Fusion,rv - motorized - propane heater;,1980-04-22 0:00,2003-03-31 0:00,6,1,22.92,43.72323408,-79.50228859,50440,49825,36400,8200,51160,58030,37200,33770,35.36023323972172,41.6,5705,52725,91800,107355,14.1
"Business Of: Cong, Xiao-Guang",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2002-04-01 0:00,2003-03-31 0:00,8,1,0.92,43.70773413,-79.44769529,88500,53845,44400,7510,67900,61360,46000,34350,22.66246048850679,41.2,7220,53335,95710,114820,12.2
"Business Of: Coronel Cabrera, Jose Ricardo",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1993-06-16 0:00,2006-11-08 0:00,7,1,13.42,43.73454944,-79.5323733,37240,43655,31400,9465,38760,53120,29200,39315,30.70157306,37.6,7175,54505,92430,111200,17.8
"Business Of: Correa, Felix Humberto",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2010-05-10 0:00,2011-08-10 0:00,3,1,1.25,43.60522155,-79.50349528,71100,73170,47600,9780,67500,82950,51600,38510,39.99417467554395,40.8,5160,73835,121460,139920,11.8
"Business Of: Corsetti, Filippo",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2005-05-24 0:00,2011-08-24 0:00,1,1,6.25,43.74284258,-79.58466097,39760,47840,32400,9430,45000,57265,35200,39355,48.36547443546212,38,7085,56585,96620,115120,16.5
"Business Of: Costellis, John",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1991-10-28 0:00,2021-01-28 0:00,8,1,29.25,43.70773413,-79.44769529,88500,53845,44400,7510,67900,61360,46000,34350,22.66246048850679,41.2,7220,53335,95710,114820,12.2
"Business Of: Czesak, Andrzej",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1991-01-25 0:00,2020-11-03 0:00,21,1,29.83,43.74664753,-79.23195384,41560,47210,33600,8815,45440,56030,37200,38565,28.205628137098813,40,6440,53680,94595,111560,15.7
"Business Of: Czyzewski, Urszula",non-motorized refreshment vehicle owner,,rv - non-motorized - propane heater;,1990-03-09 0:00,2014-06-09 0:00,4,1,24.25,43.63794387,-79.42996248,72800,54650,46800,8120,59200,62770,44800,26925,15.32836716725182,40,4680,56515,89700,104715,12.9
"Business Of: Czyzo, Stanislaw Maciej",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1989-08-16 0:00,2017-11-16 0:00,1,1,28.25,43.69703873,-79.59150599,39760,47840,32400,9430,45000,57265,35200,39355,48.36547443546212,38,7085,56585,96620,115120,16.5
"Business Of: Da Silva, Maria Liberia",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1993-04-20 0:00,2014-07-21 0:00,5,1,21.25,43.69703199,-79.4870454,43360,48010,34800,9385,42400,57395,32000,39810,24.97949625827872,40.4,6390,55685,97205,115675,16.4
"Business Of: Dalekos, Georgios Ioannis",motorized refreshment vehicle owner,,rv - motorized - ice cream;,2000-04-28 0:00,2005-07-01 0:00,11,1,5.25,43.6680462,-79.42076054,103900,55190,47200,8065,83700,63250,48800,30145,13.59728261167877,36.8,3490,60390,93395,102385,12.8
"Business Of: Damonse, Lenore Ursula",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2001-10-05 0:00,2005-04-02 0:00,16,1,3.5,43.72729181,-79.31308458,50680,40605,36400,7200,57400,47800,45200,31950,22.96489984859394,41.2,5225,44310,79750,94335,15.1
"Business Of: Dang, Tamana",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2004-05-12 0:00,2005-07-01 0:00,3,1,1.17,43.63310424,-79.49468235,71100,73170,47600,9780,67500,82950,51600,38510,39.99417467554395,40.8,5160,73835,121460,139920,11.8
"Business Of: David, Trevor",non-motorized refreshment vehicle owner,American Cuisine,rv - trailer - propane heater;,2011-08-05 0:00,2012-10-02 0:00,20,1,1.17,43.72512013,-79.23062686,49160,46020,35600,9005,46880,55025,35200,36945,28.13809805826185,40.8,6425,52250,91970,110095,16.4
"Business Of: De Clippeleir, Kevin",non-motorized refreshment vehicle owner,Desserts and Sweets,rv - non-motorized - ice cream;,2013-06-06 0:00,2014-09-06 0:00,14,1,1.25,43.68044855,-79.35324169,70800,52435,45200,7515,61200,59950,41600,28425,20.80286727365419,40.8,4200,54260,88370,104555,12.5
"Business Of: De Faria, Paulo",motorized refreshment vehicle owner,,rv - motorized - propane heater;,1997-08-18 0:00,2005-07-01 0:00,19,1,7.92,43.7064533,-79.30998497,69500,51100,44000,7910,56850,59010,41200,30810,16.803218951448542,41.2,5480,52970,89815,108500,13.4
"Business Of: Deluca, Robert",motorized refreshment vehicle owner,,rv - motorized - propane heater;,1997-09-25 0:00,2003-02-06 0:00,7,1,5.42,43.759446,-79.55627079,37240,43655,31400,9465,38760,53120,29200,39315,30.70157306,37.6,7175,54505,92430,111200,17.8
"Business Of: Dhar, Sajal Chandra",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2004-09-09 0:00,2005-12-10 0:00,4,1,1.25,43.63794387,-79.42996248,72800,54650,46800,8120,59200,62770,44800,26925,15.32836716725182,40,4680,56515,89700,104715,12.9
"Business Of: Didar, Hassan",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1998-01-09 0:00,2003-03-31 0:00,15,1,5.17,43.7125189,-79.390349,113600,46200,47200,6345,83200,52550,54400,31175,30.29693944212094,41.2,6665,46355,83725,101025,12.1
"Business Of: Digat, Yilian M",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2014-05-30 0:00,2015-08-30 0:00,25,1,1.25,43.80929263,-79.19322535,47840,44200,37200,7815,52200,52015,40800,34435,54.07847454192885,42,6105,45745,86445,101485,15
"Business Of: Dimitropoulos, Andre",non-motorized refreshment vehicle owner,American Cuisine,rv - trailer - propane heater;,2012-07-27 0:00,2014-10-27 0:00,14,1,2.25,43.68652393,-79.33668246,70800,52435,45200,7515,61200,59950,41600,28425,20.80286727365419,40.8,4200,54260,88370,104555,12.5
"Business Of: Dimitropoulos, Mary",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1998-05-05 0:00,2006-08-05 0:00,14,1,8.25,43.68652393,-79.33668246,70800,52435,45200,7515,61200,59950,41600,28425,20.80286727365419,40.8,4200,54260,88370,104555,12.5
"Business Of: Dimitropoulos, Sofia",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2001-04-01 0:00,2024-02-01 0:00,15,1,22.83,43.70446238,-79.34818336,113600,46200,47200,6345,83200,52550,54400,31175,30.29693944212094,41.2,6665,46355,83725,101025,12.1
"Business Of: Dimitropoulos, Vassilios",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1991-11-26 0:00,2015-08-21 0:00,14,1,23.75,43.68652393,-79.33668246,70800,52435,45200,7515,61200,59950,41600,28425,20.80286727365419,40.8,4200,54260,88370,104555,12.5
"Business Of: Dimitrova, Daniela",non-motorized refreshment vehicle owner,American Cuisine,rv - trailer - propane heater;,2014-05-29 0:00,2024-02-01 0:00,25,1,9.75,43.80929263,-79.19322535,47840,44200,37200,7815,52200,52015,40800,34435,54.07847454192885,42,6105,45745,86445,101485,15
"Business Of: Dingilov, Ivan Nicolov",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1996-01-25 0:00,2010-04-27 0:00,15,1,14.25,43.70446238,-79.34818336,113600,46200,47200,6345,83200,52550,54400,31175,30.29693944212094,41.2,6665,46355,83725,101025,12.1
"Business Of: Dini Suero, Avelino",non-motorized refreshment vehicle owner,Desserts and Sweets,rv - non-motorized - propane heater;,2008-05-14 0:00,2024-02-01 0:00,7,1,15.75,43.73454944,-79.5323733,37240,43655,31400,9465,38760,53120,29200,39315,30.70157306,37.6,7175,54505,92430,111200,17.8
"Business Of: Dizaji, Jalil",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2012-05-29 0:00,2020-11-03 0:00,11,1,8.5,43.66348961,-79.39939303,103900,55190,47200,8065,83700,63250,48800,30145,13.59728261167877,36.8,3490,60390,93395,102385,12.8
"Business Of: Douldouras, John Ioanis",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1995-03-16 0:00,2003-04-16 0:00,4,1,8.08,43.6501631,-79.4798903,72800,54650,46800,8120,59200,62770,44800,26925,15.32836716725182,40,4680,56515,89700,104715,12.9
"Business Of: Douldouras, Niki",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2003-07-25 0:00,2005-12-21 0:00,4,1,2.42,43.6501631,-79.4798903,72800,54650,46800,8120,59200,62770,44800,26925,15.32836716725182,40,4680,56515,89700,104715,12.9
